"'Autorius","'Leidim o metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatura","'","'","'","'",
"'Narasimha Karumanchi","'2016","'Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles","'5 ed","'CareerMonk Publications",
"'Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","'2009","'Introduction to Algorithms","'3 ed","'MIT Press, Cambridge, Massachusetts",
"'Papildoma literatüra","'","'","'","'",
"'Harry Hariom Choudhary","'2013","'Data Structures and Algorithms Made Easy- Data Structure and Algorithmic Puzzles Using C & C++ and Java","'","'Createspace Independent Pub",
"'Peter Drake","'2013","'Data Structures and Algorithms in Java","'","'Pearson Education, Limited",
"'Michael T. Goodrich, Roberto Tamassia, Michael H. Goldwasser","'2013","'Data Structures and Algorithms in Python","'","'John Wiley & Sons",
"'Adam Drozdek","'2013","'Data Structures and Algorithms in C++","'","'Brookd/Cole",
"'Narasimha Karumanchi","'2015","'Data Structure and Algorithmic Thinking with Python","'","'CareerMonk Publications",
"'Algimantas Juozapavicius","'2007","'Duomeny struktüros ir efektyvüs algoritmai","'","'TEV, Vilnius",
,,,,

'Confidence Scores % (Table Cell)
"'94.72656250","'88.76953125","'95.16601563","'92.43164063","'94.67773438",
"'72.80273438","'72.80273438","'72.80273438","'72.80273438","'72.80273438",
"'93.50585938","'87.59765625","'93.94531250","'91.21093750","'93.40820313",
"'95.21484375","'89.20898438","'95.65429688","'92.87109375","'95.11718750",
"'75.19531250","'75.19531250","'75.19531250","'75.19531250","'75.19531250",
"'95.31250000","'89.30664063","'95.75195313","'92.96875000","'95.21484375",
"'88.03710938","'82.47070313","'88.42773438","'85.88867188","'87.93945313",
"'94.38476563","'88.37890625","'94.77539063","'92.04101563","'94.28710938",
"'88.28125000","'82.71484375","'88.67187500","'86.13281250","'88.18359375",
"'90.13671875","'84.42382813","'90.52734375","'87.93945313","'90.03906250",
"'91.65039063","'85.88867188","'92.08984375","'89.40429688","'91.55273438",
