"'","'","'","'Kontaktinio","'darbo","'","'valandos","'","'","'Savarankisku studiju laikas in uzduotys",
"'Temos","'","'","'","'Principal","'databi Insurance)","'","'Viaba databes","'datifos","'Uzduotys",
"'1. Aibiy teorija Pagrindines savokos. Aibes, poaibiai, aibés elementai. Veiksmai su aibemis. Aibés dydis in galia. Funkcijos in sarysiai.","'4","'","'","'4","'","'","'8","'8","'Dalykinès literatüros",
"'2. Grafu teorija Pagrindinés savokos. Grafai. Izomorfizmas. Grafu jungumas. Eulerio grafai. Hamiltono grafai. Medziai in miskai. Numeruotieji medziai. Udaviniai in algoritmai: trumpiausio kelio, minimalaus medzio in kiti algoritmai.","'6","'","'","'6","'","'","'12","'12","'studijavimas, uzdaviniu sprendimas",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'90.91796875","'89.69726563","'89.69726563","'89.69726563","'89.69726563","'89.69726563","'89.69726563","'89.69726563","'87.54882813","'87.54882813",
"'90.91796875","'93.26171875","'95.65429688","'95.31250000","'95.16601563","'95.16601563","'95.16601563","'96.14257813","'93.06640625","'94.92187500",
"'64.11132813","'62.15820313","'63.76953125","'63.52539063","'63.42773438","'63.42773438","'63.42773438","'64.11132813","'62.06054688","'87.79296875",
"'66.99218750","'64.94140625","'66.65039063","'66.40625000","'66.30859375","'66.30859375","'66.30859375","'66.94335938","'64.84375000","'87.79296875",
