"'Autorius","'Leidimo metai","'Pavadinimas","'Periodinio leidinio Nr. ar leidinio tomas","'Leidimo vieta ir leidykla ar internetiné nuoroda",
"'Privaloma literatura","'","'","'","'",
"'M. J. Zaki, W. Meira Jr.","'2020","'Data mining and analysis. fundamental concepts and algorithms, Second Edition","'","'Cambridge University Press https://dataminingbook.info/book_html/",
"'Mohri, Mehryar; Rostamizadeh, Afshin; Talwalkar, Ameet","'2018","'Foundation of Machine Learning","'","'London, The MIT Press https://virtualibiblioteka.vu.lt/permalink /f/1pp6fcs/VUB01000955876 https://d1rkab7tlqy5f1.cloudfront.net/E VI/Over%20de%20faculteit/Afdelinge in/Intelligent%20Systems/Pattern%20 ecognition%20Laboratory/PR/Reading %20Group/Foundations_of_Machine_I earning.pdf",
"'G. Dzemyda, O. Kurasova, J. Zilinskas","'2013","'Multidimensional Data Visualization: Methods and Applications","'Springer Optimization and Its Applications, Vol. 75","'Springer https://www.researchgate.net/publicatio in/266046175_Multidimensional_data_v isualization_Methods_and_applications",
"'G. Dzemyda, O. Kurasova, J. Zilinskas","'2008","'Daugiamaciu duomenu vizualizavimo metodai","'","'Matematikos ir informatikos institutas",
"'Papildoma literatüra","'","'","'","'",
"'J. Leskovec, A. Rajaraman, J. Ullman","'2015","'Mining of Massive Datasets","'","'http://www.mmds.org/",
"'J. Han, M. Kamber, J. Pei","'2012","'Data Mining. Concepts and Techniques","'Third Edition","'Elsevier http://hanj.cs.illinois.edu/bk2/toc.pdf",
,,,,

'Confidence Scores % (Table Cell)
"'95.26367188","'88.76953125","'95.45898438","'93.31054688","'94.97070313",
"'72.50976563","'72.50976563","'72.50976563","'72.50976563","'72.50976563",
"'90.96679688","'84.81445313","'91.16210938","'89.11132813","'90.72265625",
"'95.31250000","'88.81835938","'95.50781250","'93.35937500","'95.01953125",
"'93.21289063","'86.86523438","'93.40820313","'91.30859375","'92.96875000",
"'93.99414063","'87.59765625","'94.18945313","'92.04101563","'93.70117188",
"'68.16406250","'68.16406250","'68.16406250","'68.16406250","'68.16406250",
"'93.99414063","'87.59765625","'94.18945313","'92.04101563","'93.70117188",
"'91.50390625","'85.30273438","'91.69921875","'89.64843750","'91.25976563",
