"'11. Darbas su vektoriais, string duomenu tipas","'4","'","'","'","'4","'","'8","'6","'",
"'12. Preprocesoriaus direktyvos, antrasciu failai ir programos sudarymo failas (makefile)","'4","'","'","'","'4","'","'8","'6","'",
"'Egzaminas","'","'","'","'","'","'","'","'21","'Literatüros kartojimas, pasiruosimas egzaminui",
"'Is viso","'32","'","'","'","'32","'","'64","'69","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.18945313","'89.16015625","'92.08984375","'91.89453125","'91.60156250","'92.72460938","'90.38085938","'92.18750000","'89.59960938","'62.50000000",
"'93.45703125","'88.52539063","'91.40625000","'91.21093750","'90.86914063","'91.99218750","'89.64843750","'91.50390625","'88.91601563","'62.50000000",
"'92.96875000","'88.03710938","'90.91796875","'90.77148438","'90.42968750","'91.55273438","'89.20898438","'91.01562500","'88.47656250","'91.30859375",
"'95.36132813","'90.28320313","'93.26171875","'93.06640625","'92.72460938","'93.89648438","'91.50390625","'93.35937500","'90.72265625","'93.65234375",
