"'6. Mygtukai, ivairüs elektronikos jutikliai, mygtuku ""atsaukimo" (angl. debouncing) problemos sprendimas elektroniniu ir programiniu büdu.","'2","'","'","'","'2","'","'4","'4","'Susipazinti su ivairiais triuksmais elektronikoje, isspresti problema programuojant ir pasinaudojant elektronika.",
"'7. Potenciometrai, itampos dalikliai, keitikliai ""skaicius-analogas" ir "analogas-skaicius", sinusiniai signalai.","'2","'","'","'","'2","'","'4","'4","'Teisingai nuskaityti ir naudoti ADC ir DAC modulius.",
"'8. PWM signalai ir ju generavimas, servo varikliuko pozicijos valdymas, loginiu signalu lygiai.","'2","'","'","'","'2","'","'4","'4","'Servo varikliuku pozicijos valdymas, teisingy formu ir dazniy PWM signalu formavimas.",
"'9. Tranzistoriai ir varikliai, H-tilteliai, diodai, apsaugos, voltamperines charakteristikos.","'2","'","'","'","'2","'","'4","'4","'Nuolatines srovés varikliu valdymas.",
"'10. Rélès, galios elektronika, lauko tranzistoriai.","'2","'","'","'","'2","'","'4","'4","'Rélès valdymas.",
"'11. Ivairüs protokolai: LCD, I2C, oneWire.","'2","'","'","'","'2","'","'4","'2","'Susipazinti su protokolais.",
"'12. Pazangüs jutikliai, IMU plokstes: akselerometrai, giroskopai, magnetometrai.","'2","'","'","'","'2","'","'4","'2","'Susipazinti su pazangiais jutikliais, naudojamais elektronikoje.",
"'13. LC, RC filtrai, triuksmo elektronikoje mazinimas, itampos stabilizatoriai.","'2","'","'","'","'2","'","'4","'5","'Susipazinti su triuksmo filtrais elektronikoje.",
"'14. Stiprintuvai, stiprinimo koeficientu skaiciavimas.","'2","'","'","'","'2","'","'4","'5","'Susipazinti su stiprintuvais, panaudoti integruotus stiprintuvus Arduino ploksteje laboratoriniy darby metu.",
"'15. Mikrovaldikliu registrai, büsenos registrai, mikrovaldiklio architektüra.","'2","'","'","'","'2","'","'4","'4","'Susipazinti su Arduino mikrovaldiklio registrais, architektüra.",
"'16. Programuojamos logines matricos, ASIC, MEMS.","'2","'","'","'","'2","'","'4","'4","'Susipazinti su programuojamomis loginèmis matricomis, ASIC moduliais, MEMS elektronika.",
"'17. Egzaminas","'","'","'","'","'","'","'","'13","'",
"'Is viso","'32","'","'","'","'32","'","'64","'71","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.62890625","'90.57617188","'93.26171875","'81.93359375","'93.21289063","'94.23828125","'93.40820313","'94.58007813","'92.43164063","'94.48242188",
"'94.33593750","'90.28320313","'92.91992188","'81.64062500","'92.87109375","'93.89648438","'93.06640625","'94.23828125","'92.08984375","'94.14062500",
"'92.38281250","'88.42773438","'91.01562500","'79.93164063","'90.96679688","'91.94335938","'91.16210938","'92.28515625","'90.18554688","'92.18750000",
"'93.84765625","'89.84375000","'92.48046875","'81.20117188","'92.43164063","'93.40820313","'92.62695313","'93.75000000","'91.60156250","'93.65234375",
"'91.50390625","'87.54882813","'90.13671875","'79.15039063","'90.08789063","'91.06445313","'90.28320313","'91.40625000","'89.30664063","'91.30859375",
"'91.79687500","'87.89062500","'90.47851563","'79.44335938","'90.42968750","'91.40625000","'90.62500000","'91.69921875","'89.64843750","'91.65039063",
"'94.14062500","'90.08789063","'92.77343750","'81.44531250","'92.72460938","'93.70117188","'92.91992188","'94.04296875","'91.89453125","'93.94531250",
"'92.38281250","'88.42773438","'91.01562500","'79.93164063","'90.96679688","'91.94335938","'91.16210938","'92.28515625","'90.18554688","'92.18750000",
"'94.62890625","'90.57617188","'93.26171875","'81.93359375","'93.21289063","'94.23828125","'93.40820313","'94.58007813","'92.43164063","'94.48242188",
"'91.69921875","'87.79296875","'90.38085938","'79.39453125","'90.33203125","'91.30859375","'90.52734375","'91.65039063","'89.55078125","'91.55273438",
"'95.21484375","'91.16210938","'93.84765625","'82.42187500","'93.79882813","'94.77539063","'93.99414063","'95.11718750","'92.96875000","'95.01953125",
"'91.16210938","'87.25585938","'89.79492188","'78.90625000","'89.79492188","'90.72265625","'89.94140625","'91.06445313","'89.01367188","'90.96679688",
"'91.35742188","'87.45117188","'89.99023438","'79.05273438","'89.94140625","'90.91796875","'90.13671875","'91.25976563","'89.16015625","'91.16210938",
